"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060760","positive regulation of response to cytokine stimulus","3/61","72/18860",0.0416666666666667,12.8825136612022,5.75428235793651,0.00163823611902559,0.0212295134187131,0.0166579190833096,"972/958/7805",3
"GO:0001909","leukocyte mediated cytotoxicity","4/61","157/18860",0.0254777070063694,7.87720580557586,4.92904841773447,0.00166821983536139,0.021397472786217,0.0167897098360217,"3122/3123/653361/8417",4
"GO:0031343","positive regulation of cell killing","3/61","73/18860",0.0410958904109589,12.7060408713227,5.70820579742854,0.00170453652954985,0.0216424486630723,0.016981932250805,"3122/3123/8417",3
"GO:0002711","positive regulation of T cell mediated immunity","3/61","74/18860",0.0405405405405405,12.5343376163048,5.66302180679332,0.0017724941061298,0.0222802509140516,0.0174823892362487,"3122/3123/8417",3
"GO:0045655","regulation of monocyte differentiation","2/61","20/18860",0.1,30.9180327868852,7.62543206340281,0.00188314234449816,0.0234367319508336,0.018389831962426,"972/3123",2
"GO:0032729","positive regulation of type II interferon production","3/61","77/18860",0.038961038961039,12.0459868000852,5.53253636328459,0.00198645792870503,0.0241757026878863,0.0189696716648239,"3115/3113/3394",3
"GO:0071322","cellular response to carbohydrate stimulus","4/61","165/18860",0.0242424242424242,7.49528067560854,4.77346820128254,0.00200021724704866,0.0241757026878863,0.0189696716648239,"3123/653361/5579/2876",4
"GO:1903038","negative regulation of leukocyte cell-cell adhesion","4/61","165/18860",0.0242424242424242,7.49528067560854,4.77346820128254,0.00200021724704866,0.0241757026878863,0.0189696716648239,"972/3123/951/7805",4
"GO:0046596","regulation of viral entry into host cell","2/61","21/18860",0.0952380952380952,29.4457455113193,7.42942013464312,0.00207704402703633,0.0246306069998554,0.0193266162197919,"972/3123",2
"GO:0090713","immunological memory process","2/61","21/18860",0.0952380952380952,29.4457455113193,7.42942013464312,0.00207704402703633,0.0246306069998554,0.0193266162197919,"3122/3123",2
"GO:0042130","negative regulation of T cell proliferation","3/61","79/18860",0.0379746835443038,11.7410251089438,5.44950173194766,0.00213765454396426,0.0251124463716175,0.0197046955995525,"3123/951/7805",3
"GO:0032635","interleukin-6 production","4/61","177/18860",0.0225988700564972,6.98712605353339,4.55867469264349,0.00258008437643892,0.02975381707508,0.0233465867766612,"972/55024/7805/5452",4
"GO:0032675","regulation of interleukin-6 production","4/61","177/18860",0.0225988700564972,6.98712605353339,4.55867469264349,0.00258008437643892,0.02975381707508,0.0233465867766612,"972/55024/7805/5452",4
"GO:0045591","positive regulation of regulatory T cell differentiation","2/61","24/18860",0.0833333333333333,25.7650273224044,6.9152353495842,0.0027128594279784,0.0304470026872219,0.0238905007896218,"3122/3123",2
"GO:0046597","host-mediated suppression of symbiont invasion","2/61","24/18860",0.0833333333333333,25.7650273224044,6.9152353495842,0.0027128594279784,0.0304470026872219,0.0238905007896218,"972/8724",2
"GO:0060907","positive regulation of macrophage cytokine production","2/61","24/18860",0.0833333333333333,25.7650273224044,6.9152353495842,0.0027128594279784,0.0304470026872219,0.0238905007896218,"972/7805",2
"GO:0050871","positive regulation of B cell activation","3/61","87/18860",0.0344827586206897,10.6613906161673,5.14504646600998,0.00281327255561286,0.0312945451540298,0.0245555322273801,"972/958/4208",3
"GO:0002483","antigen processing and presentation of endogenous peptide antigen","2/61","25/18860",0.08,24.7344262295082,6.76429910667721,0.00294264002646823,0.0321643348980049,0.0252380201812424,"3122/3123",2
"GO:1903902","positive regulation of viral life cycle","2/61","25/18860",0.08,24.7344262295082,6.76429910667721,0.00294264002646823,0.0321643348980049,0.0252380201812424,"972/3123",2
"GO:0090280","positive regulation of calcium ion import","2/61","27/18860",0.0740740740740741,22.9022465088039,6.48735502007791,0.00342861690556567,0.0371532021577246,0.0291525775001365,"931/5026",2
"GO:0032024","positive regulation of insulin secretion","3/61","95/18860",0.0315789473684211,9.76358930112166,4.87782717165636,0.00360717680858514,0.0384256037999282,0.0301509783197527,"3123/640/5579",3
"GO:0050672","negative regulation of lymphocyte proliferation","3/61","95/18860",0.0315789473684211,9.76358930112166,4.87782717165636,0.00360717680858514,0.0384256037999282,0.0301509783197527,"3123/951/7805",3
"GO:0052372","modulation by symbiont of entry into host","2/61","28/18860",0.0714285714285714,22.0843091334895,6.35985247674893,0.00368469829498446,0.0389215609814746,0.0305401353595793,"972/3123",2
"GO:0032945","negative regulation of mononuclear cell proliferation","3/61","97/18860",0.0309278350515464,9.5622781815109,4.81593853297121,0.00382485764504561,0.0400653838318527,0.0314376457316468,"3123/951/7805",3
"GO:0002700","regulation of production of molecular mediator of immune response","4/61","202/18860",0.0198019801980198,6.12238273007629,4.16938537595926,0.00414011711963147,0.0430093158626178,0.0337476271517589,"972/951/958/7805",4
"GO:0043410","positive regulation of MAPK cascade","6/61","474/18860",0.0126582278481013,3.91367503631459,3.65968351548643,0.00421665871864625,0.0434454099126093,0.0340898120739563,"972/3123/55024/958/7805/4208",6
"GO:0001910","regulation of leukocyte mediated cytotoxicity","3/61","101/18860",0.0297029702970297,9.18357409511443,4.69738047135265,0.00428388795935506,0.0437792452431651,0.0343517588182772,"3122/3123/8417",3
"GO:0032755","positive regulation of interleukin-6 production","3/61","103/18860",0.029126213592233,9.00525226802483,4.64054319247287,0.00452540506505764,0.045874469086915,0.0359957941083108,"972/7805/5452",3
"GO:0042147","retrograde transport, endosome to Golgi","3/61","104/18860",0.0288461538461538,8.91866330390921,4.61270105084203,0.00464919952996213,0.0467523504732991,0.0366846312385222,"6643/8724/92241",3
"GO:0070664","negative regulation of leukocyte proliferation","3/61","105/18860",0.0285714285714286,8.83372365339578,4.5852311715868,0.00477503101609441,0.0476366189462752,0.0373784800507976,"3123/951/7805",3
